id|date|time|timezone|user_id|username|tweet|replies|retweets|likes|location|hashtags|link
946156698582093826|2017-12-27|23:11:50|GTB Standard Time|17177403|plevy|"""Right now, the entire #Blockchain and cryptocurrency community just switched to Telegram.”  https://cointelegraph.com/news/exclusive-telegram-to-release-blockchain-platform-native-cryptocurrency … <Emoji: Face with open mouth><Emoji: Mobile phone><Emoji: Robot face>"|1|4|7||['#Blockchain']|https://twitter.com/plevy/status/946156698582093826/
946136341879906305|2017-12-27|21:50:56|GTB Standard Time|3294469815|mrwill712|When you find  your old #cryptocurrency wallets and find out you mined dead coins because they had nice icons <Emoji: Rolling on the floor laughing><Emoji: Face with look of triumph><Emoji: Loudly crying face> #infinium8 #monetaverde|1|0|3||['#cryptocurrency', '#infinium8', '#monetaverde']|https://twitter.com/mrwill712/status/946136341879906305/
946124912204410881|2017-12-27|21:05:31|GTB Standard Time|945499900766310401|NiaKnowsCrypto|This means you have at least two different types of cryptocurrency if you need to use a public and private ledger which could get annoying and harder to manageAnd simply tedious <Emoji: Face with rolling eyes><Emoji: Woman facepalming (medium dark skin tone)>|1|0|0||[]|https://twitter.com/NiaKnowsCrypto/status/946124912204410881/
946059903201873921|2017-12-27|16:47:12|GTB Standard Time|196519120|bneiluj|Another example of Crypto gangs. <Emoji: Face with open mouth and cold sweat>Pavel Lerner, the owner of cryptocurrency exchange Exmo, was kidnapped in Ukraine this week. He has not been heard from since.  https://www.dashforcenews.com/owner-of-exmo-cryptocurrency-exchange-kidnapped/ … pic.twitter.com/Kajvpwxqvv|2|0|3||[]|https://twitter.com/bneiluj/status/946059903201873921/
946052112408072192|2017-12-27|16:16:15|GTB Standard Time|35121162|QueenOfHeartsYg|Crypto currency gon show ya’ll the true value of a dollar within the next 5 yrs and you mfers gon be sick <Emoji: Loudly crying face><Emoji: Loudly crying face>|1|1|1||[]|https://twitter.com/QueenOfHeartsYg/status/946052112408072192/
946047158729543680|2017-12-27|15:56:34|GTB Standard Time|874088037654900736|CryptoKirby|<Emoji: Rocket>ALERT<Emoji: Rocket>Goldman Sachs will soon trade #Bitcoin & other #CryptoCurrency! <Emoji: Face screaming in fear><Emoji: Face screaming in fear><Emoji: Face screaming in fear> <Emoji: White heavy check mark><Emoji: White heavy check mark><Emoji: White heavy check mark><Emoji: Rocket>$btc $eth $ltc $xrp $neo $qtum $xlm $xvg $dash $strat $waves $xmr $nxt $vox $bch $ada $sys $sc $dgb $rdd $gup $rcn $zcl $nav $doge $pay $xzc $lsk $hmq $ardr $cvc $gnt $rise $edg $xem $omg https://twitter.com/businessinsider/status/946030533141811200 …|3|9|12||['#Bitcoin', '#CryptoCurrency']|https://twitter.com/CryptoKirby/status/946047158729543680/
946023240882941953|2017-12-27|14:21:31|GTB Standard Time|449524463|xolinzama_|How does this crypto currency thing work guys? Bitcoin? I want to make money also <Emoji: Loudly crying face>|2|1|1||[]|https://twitter.com/xolinzama_/status/946023240882941953/
946012514978029568|2017-12-27|13:38:54|GTB Standard Time|82923961|knight_dlx|@IntThings @EspitiaTyler @Bafana_Sydwell @Yatie84991237 Phewx <Emoji: Man running (medium skin tone)>.. long term trader or short term?! If long term- please choose equity..If short term - start by learning shorting, options and market inconsistency. Dont forget cryptocurrency <Emoji: Confounded face>|1|0|0||[]|https://twitter.com/knight_dlx/status/946012514978029568/
946007570770165760|2017-12-27|13:19:15|GTB Standard Time|803033053|nannananna91|Got #cryptocurrency for Christmas, which one do I pick? <Emoji: Face with open mouth>#ethereum #bitcoin #Litecoin|1|0|0||['#cryptocurrency', '#ethereum', '#bitcoin', '#Litecoin']|https://twitter.com/nannananna91/status/946007570770165760/
947234070097887232|2017-12-30|22:32:55|GTB Standard Time|17783799|bendrexl|"@kyee Ripple has always been a head-scratcher for us long time followers of crypto... XRP is ""crypto"" in name only. Wholely controlled by private company, and can't even be ""mined"" - it's a pure token, not a cryptocurrency <Emoji: Face with raised eyebrow>"|2|0|0||[]|https://twitter.com/bendrexl/status/947234070097887232/
947179193086955520|2017-12-30|18:54:52|GTB Standard Time|945068263968575488|SteveMCinvest|Oooh shot #Trx is on the rise! I am not in yet <Emoji: Crying face><Emoji: Crying face><Emoji: Crying face> #cryptocurrency #Binance <Emoji: Pensive face><Emoji: Pensive face><Emoji: Pensive face> pic.twitter.com/FFaufFIKKk|1|1|1||['#Trx', '#cryptocurrency', '#Binance']|https://twitter.com/SteveMCinvest/status/947179193086955520/
947140076609339392|2017-12-30|16:19:25|GTB Standard Time|18214010|ALWyvern|@gordlittle I spent all my social energy last night going for a drink with my brother and friend visiting from HamburgI had to listen to a lot of crypto currency talk <Emoji: Loudly crying face>|1|0|0||[]|https://twitter.com/ALWyvern/status/947140076609339392/
947129203874521090|2017-12-30|15:36:13|GTB Standard Time|146037421|briandordevic|When I run out of patience with #cryptocurrency <Emoji: Crying face>  pic.twitter.com/MMTi8Qf1Wo|2|1|8||['#cryptocurrency']|https://twitter.com/briandordevic/status/947129203874521090/
947126707030515714|2017-12-30|15:26:18|GTB Standard Time|944225981375680513|LaCryptoDiamond|A little sad Medicalchain won't let US citizens invest in their #ICO. Read the fine print. <Emoji: Disappointed face> #cryptocurrency #cryptolife|1|0|0||['#ICO', '#cryptocurrency', '#cryptolife']|https://twitter.com/LaCryptoDiamond/status/947126707030515714/
951235501935202304|2018-01-10|23:33:11|GTB Standard Time|261085517|martinezf622|When you want to invest more on tron but coinbase is so slow to give me my coins! <Emoji: Crying face><Emoji: Loudly crying face><Emoji: Loudly crying face> but ethereum giving me nice little gain while I wait #trx #TRON #cryptocurrency #ToTheMoon pic.twitter.com/1w6njlnzBw|2|0|5||['#trx', '#TRON', '#cryptocurrency', '#ToTheMoon']|https://twitter.com/martinezf622/status/951235501935202304/
951227690195083265|2018-01-10|23:02:08|GTB Standard Time|941016525007355904|LTC_lottery|When you take a closer look at the project, I think we all should embrace #DGB and #ZEN... Don't go for profit only, look into the #cryptocurrency itself, and what it stands for. You might be surprised sometimes in what you're investing. <Emoji: Face with open mouth and cold sweat> But in the end, we <Emoji: Smiling face with heart-shaped eyes><Emoji: Smiling face with heart-shaped eyes>#Litecoin.<Emoji: Face throwing a kiss><Emoji: Face throwing a kiss> pic.twitter.com/xr0acZRynG|1|3|5||['#DGB', '#ZEN', '#cryptocurrency', '#Litecoin']|https://twitter.com/LTC_lottery/status/951227690195083265/
951224949557035009|2018-01-10|22:51:15|GTB Standard Time|19026149|hackerfantastic|"CNBC discussing cryptocurrency is painful to watch ... ""crypto class"" <Emoji: Face with rolling eyes>  pic.twitter.com/F0S2O7KYJJ"|6|11|50||[]|https://twitter.com/hackerfantastic/status/951224949557035009/
951222455783317504|2018-01-10|22:41:20|GTB Standard Time|877137396197883904|KraToZz94|holy shit look at this buy wall for #verge on Binance<Emoji: Face screaming in fear><Emoji: Face screaming in fear><Emoji: Face screaming in fear>85 Btc!!!  Things are about to get out of hand<Emoji: Collision symbol><Emoji: Rocket><Emoji: Person raising both hands in celebration> be prepared to go vertical very soon<Emoji: Collision symbol><Emoji: Rocket><Emoji: Person raising both hands in celebration> @vergecurrency #Xvg $xvg #HODL #VVraith #cryptocurrency @RicardoCrypto pic.twitter.com/FTBTQ3HB3W|2|13|22||['#verge', '#Xvg', '#HODL', '#VVraith', '#cryptocurrency']|https://twitter.com/KraToZz94/status/951222455783317504/
951202634987433984|2018-01-10|21:22:35|GTB Standard Time|360366169|BRICBreaker|I thought I would try Binance to set up a cryptocurrency account today. And....<Emoji: Pouting face>Screw you, blockchain.  Your tech is crap.  Im now onto my FIFTH exchange. Still cannot buy a coin.  pic.twitter.com/XXRcRTiK15|3|0|0||[]|https://twitter.com/BRICBreaker/status/951202634987433984/
951166688241778688|2018-01-10|18:59:44|GTB Standard Time|298149335|crypto_fairy|The fact that the $ARDR market is still offline on @BittrexExchange is a disgrace. This is a serious issue that should have been solved ages ago. It is highly unprofessional and in complete disregard to customers. <Emoji: Angry face>#ardor #ignis #bittrex #cryptocurrency|4|0|13||['#ardor', '#ignis', '#bittrex', '#cryptocurrency']|https://twitter.com/crypto_fairy/status/951166688241778688/
951162442146631680|2018-01-10|18:42:52|GTB Standard Time|947873152402632709|HinzmannBenja|What is going on with Bridgecoin? <Emoji: Face with open mouth> Did I miss smth ? $BCO #crypto #bitcoin #Blockchain #cryptocurrency #realworldcrypto|2|0|0||['#crypto', '#bitcoin', '#Blockchain', '#cryptocurrency', '#realworldcrypto']|https://twitter.com/HinzmannBenja/status/951162442146631680/
